NUTS_ID,Region_LTN,Spss code,PRG,RES,INT,KNW,GDP
PT15,Algarve,13420,0.079444151,-0.139792688,-0.329406224,-0.412600481,6741.04
PT16,Centro (PT),13200,-0.13546161,-0.060199569,-0.213117414,-0.442627989,30243.63
PT17,Área Metropolitana de Lisboa,13300,-0.046892346,-0.22707418,-0.1459519,-0.289509504,59469.24
PT18,Alentejo,13410,-0.208609171,-0.056221197,-0.265528373,-0.438569649,10716.5
PT20,Região Autónoma dos Açores,13510,-0.067547585,0.033356473,-0.475505725,-0.631888307,3264.13
PT30,Região Autónoma da Madeira,13520,-0.342206459,-0.100404702,-0.214807893,-0.343529763,3890.21
RO11,Nord-Vest,29110,0.024592878,-0.057699105,-0.048812254,-0.241840514,9407.26
RO12,Centru,29120,-0.043571618,-0.050656847,-0.174294954,-0.279581525,9056.85
RO21,Nord-Est,29210,-0.013854557,-0.041151353,-0.184184424,-0.27554584,8964.46
RO22,Sud-Est,29220,-0.046799445,-0.04645781,-0.141512589,-0.18223275,9089.25
RO31,Sud-Muntenia,29310,-0.123864229,0.038453931,-0.273762384,-0.307748009,10177.62
RO32,Bucure?ti-Ilfov,29320,0.138625185,-0.142007116,0.008841214,-0.00323019,19069.9
RO41,Sud-Vest Oltenia,29410,-0.111848723,0.012328559,-0.230796818,-0.364193361,6561.38
RO42,Vest,29420,-0.000229832,-0.113723562,-0.220875655,-0.255584576,7842.5
RS11,Missing,missing,,,,,
RS12,Missing,missing,,,,,
RS21,Missing,missing,,,,,
RS22,Missing,missing,,,,,
SE11,Stockholm,16110,0.197770803,0.263532009,0.236184115,0.465853736,91440.06
SE12,Östra Mellansverige,16120,0.293777158,0.009581214,0.271950625,0.33186252,45530.12
SE21,Småland med öarna,16210,0.308657136,2.33E-05,0.17926343,0.275826671,23400.1
SE22,Sydsverige,16220,0.223122892,-0.047810493,0.22012879,0.31233554,40479.13
SE23,Västsverige,16230,0.257284439,0.057498272,0.164887783,0.341815534,60471.44
SE31,Norra Mellansverige,16310,0.253204632,-0.074076785,0.144003022,0.263590285,24357.57
SE32,Mellersta Norrland,16320,0.087352066,-0.141205144,0.119666602,0.248199545,11631.69
SE33,Övre Norrland,16330,0.294522893,-0.106174129,0.16004868,0.251748814,16176.89
SI03,Vzhodna Slovenija ,27110,-0.153615551,-0.157571452,0.132334521,0.132711246,13107.18
SI04,Zahodna Slovenija,27120,-0.125879807,-0.029753825,0.141856966,0.389797856,16128.19
SK01,Bratislavský kraj,26110,-0.021975943,-0.113333754,0.047645298,0.126015838,10722.72
SK02,Západné Slovensko,26120,-0.070995873,-0.242702431,-0.04237263,0.005336434,12813.35
SK03,Stredné Slovensko,26130,-0.095114963,-0.238225292,-0.022199957,0.078788945,7620.29
SK04,Východné Slovensko,26140,-0.057554616,-0.306380691,-0.10572286,-0.069584426,8191.94
TR10,Istanbul,30110,0.271005264,-0.466387683,-0.226692595,-0.323243652,
TR21,"Tekirda?, Edirne, K?rklareli ",30121,0.14874689,-0.19923551,-0.067286596,-0.353687498,9302.71
TR22,"Bal?kesir, Çanakkale ",30122,0.210735572,-0.28583934,0.495988839,-0.656109781,8592.45
TR31,?zmir ,30211,0.115030912,-0.031317352,0.025888716,-0.232444532,25970.87
TR32,"Ayd?n, Denizli, Mu?la ",30212,-0.4400269,0.095551355,-0.757213321,-1.408963516,13932.58
TR33,"Manisa, Afyonkarahisar, Kütahya, U?ak ",30213,0.109514866,-0.363981623,-0.430244073,-0.53059202,13607.08
TR41,"Bursa, Eski?ehir, Bilecik ",30131,0.232181638,-0.414807677,-0.161360885,-0.936443878,22019.06
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova ",30132,0.040288765,-0.284717942,-0.23693568,-0.770889063,20501.99
TR51,Ankara ,30411,-0.020427075,-0.21441519,-0.40013515,0.119567232,39029.18
TR52,"Konya, Karaman ",30412,-0.275409495,0.02512853,-0.165666888,-0.064814902,9437.65
TR61,"Antalya, Isparta, Burdur ",30311,0.011511029,-0.165897068,0.143404715,-0.54673429,16297.71
TR62,"Adana, Mersin ",30312,0.349948076,-0.472548288,-0.307988448,-0.438011507,15431.32
TR63,"Hatay, Kahramanmara?, Osmaniye ",30313,0.249873283,-0.26200234,0.208111932,-0.477838288,9626.47
TR71,"K?r?kkale, Aksaray, Ni?de, Nev?ehir, K?r?ehir ",30421,-0.368186249,0.260476985,-0.661862966,-0.664943445,5671.29
TR72,"Kayseri, Sivas, Yozgat ",30422,-0.215905045,-0.128104749,-0.471838572,-1.200470309,10005.25
TR81,"Zonguldak, Karabük, Bart?n ",30511,0.398866561,-0.609119477,0.17854525,-0.375196003,3807.16
TR82,"Kastamonu, Çank?r?, Sinop ",30512,-0.007284876,-0.087974536,-0.541343043,-0.608110061,3061.39
TR83,"Samsun, Tokat, Çorum, Amasya ",30513,-0.745753368,0.520120142,-0.451116054,-0.112673235,10301.47
TR90,Trabzon,30521,0.183718399,-0.505506258,-0.057927493,-0.721571959,
TRA1,"Erzurum, Erzincan, Bayburt ",30611,-0.09530033,-0.190103575,-0.438633276,-0.700936303,3490.23
TRA2,"A?r?, Kars, I?d?r, Ardahan ",30612,0.120668191,-0.354462574,-0.425050362,-0.641845596,2601.47
TRB1,"Malatya, Elaz??, Bingöl, Tunceli ",30621,-0.115466593,-0.234651645,-0.344038394,-0.82988862,5476.48
TRB2,"Van, Mu?, Bitlis, Hakkari ",30622,-0.131162285,-0.329319826,-0.517101622,-0.703971622,4134.36
TRC1,"Gaziantep, Ad?yaman, Kilis ",30711,-0.114756965,-0.345766583,-0.666337792,-0.724794661,7732.08
TRC2,"?anl?urfa, Diyarbak?r ",30712,-0.199742764,-0.106334275,-0.106630959,-0.784372819,7204.12
TRC3,"Mardin, Batman, ??rnak, Siirt ",30713,-0.36377719,0.286444524,-0.726120405,-0.928732788,4528.42
UKC1,Tees Valley and Durham ,9120,-0.10360639,0.224260335,0.154138225,0.10482389,27219.49
UKC2,Northumberland and Tyne and Wear ,9120,-0.10360639,0.224260335,0.154138225,0.10482389,38124.81
UKD1,Cumbria ,9210,-0.004894325,0.278605955,0.084376852,0.134566637,13213.66
UKD3,Greater Manchester ,9210,-0.004894325,0.278605955,0.084376852,0.134566637,75816.21
UKD4,Lancashire ,9210,-0.004894325,0.278605955,0.084376852,0.134566637,38874.78
UKD6,Cheshire ,9210,-0.004894325,0.278605955,0.084376852,0.134566637,32638.06
UKD7,Merseyside ,9210,-0.004894325,0.278605955,0.084376852,0.134566637,38022.55
